State,RunID,SurveyYear,RouteNumber,RouteType,RunNumber,SurveyDate,StartTime,EndTime,StartWind,EndWind,StartSky,EndSky,TempScale,DaysSinceRain,ObserverTrackingID,DateCreated,DateLastUpdated, QuizScore,UnifiedProtocol
Louisiana,153,2001,420311,RO,1,1/27/2001, 21:15,22:58,1,1,0,0,C,5,313,4/10/2001,4/10/2001,NULL,1
Louisiana,154,2001,420312,RO,1,1/31/2001, 18:58,20:10,0,1,2,2,F,2,319,4/10/2001,4/10/2001,NULL,1
Louisiana,155,2001,420312,RO,2,3/15/2001, 19:40,20:31,3,1,0,0,C,1,319,4/10/2001,4/10/2001,NULL,1
Louisiana,156,2001,420210,RO,1,1/29/2001, 18:30,20:10,2,2,1,0,C,0,381,4/10/2001,4/10/2001,NULL,1
Louisiana,157,2001,420110,RO,1,1/29/2001, 20:55,22:26,2,2,0,1,C,0,381,4/10/2001,4/10/2001,NULL,1
Louisiana,158,2001,420516,RO,1,1/11/2001, 19:16,20:33,2,2,2,2,F,1,381,4/10/2001,4/10/2001,NULL,1
Louisiana,159,2001,420412,RO,1,1/17/2001, 20:42,22:07,1,2,4,4,C,0,122,4/10/2001,4/10/2001,NULL,1
Louisiana,160,2001,420412,RO,2,3/12/2001, 20:35,21:57,1,1,0,4,C,0,122,4/10/2001,4/10/2001,NULL,1
Kentucky,161,2001,390103,RO,2,4/11/2001, 20:44,22:36,3,3,1,1,C,1,278,4/13/2001,4/13/2001,NULL,1
Delaware,162,2001,211001,RA,1,3/23/2001, 19:03,21:34,3,2,0,0,F,2,164,4/13/2001,4/13/2001,NULL,1
Delaware,163,2001,210902,RA,1,4/13/2001, 20:28,21:47,0,1,0,0,C,0,157,4/14/2001,4/14/2001,NULL,1
Kentucky,164,2001,390104,RO,2,4/15/2001, 20:43,21:47,3,3,2,2,F,1,294,4/18/2001,4/18/2001,NULL,1
Maryland,167,2001,460706,RA,1,3/3/2001, 19:05,20:57,0,0,0,0,C,NULL,1056,4/24/2001,4/24/2001,NULL,1
Delaware,168,2001,210801,RA,1,3/31/2001, 20:13,22:01,0,0,2,2,C,0,162,4/29/2001,3/2/2003,NULL,1
Mississippi,170,2001,510306,RO,2,5/3/2001, 20:30,22:08,2,0,0,0,F,NULL,130,5/4/2001,5/4/2001,NULL,1
Delaware,171,2001,211001,RA,2,4/27/2001, 20:17,22:22,3,0,2,0,F,9,164,5/6/2001,5/6/2001,NULL,1
Louisiana,172,2001,420109,RO,1,2/19/2001, 19:45,20:40,0,0,2,0,C,1,380,5/7/2001,5/7/2001,NULL,1
Louisiana,173,2001,420309,RO,1,2/19/2001, 21:40,22:40,0,0,0,2,C,1,380,5/7/2001,5/7/2001,NULL,1
Kentucky,174,2001,390110,RO,2,4/8/2001, 19:50,22:10,0,0,2,0,F,9,296,5/8/2001,5/8/2001,NULL,1
Kentucky,175,2001,390405,RO,2,4/7/2001, 18:40,20:40,3,2,2,1,F,1,299,5/8/2001,5/8/2001,NULL,1
Mississippi,176,2001,510307,RO,2,5/8/2001, 21:45,23:19,0,2,1,1,F,NULL,130,5/10/2001,5/10/2001,NULL,1
Mississippi,177,2001,510503,RO,2,5/9/2001, 21:30,23:14,0,0,0,0,F,NULL,130,5/10/2001,3/3/2005,NULL,1
Delaware,179,2001,211101,RA,2,5/2/2001, 20:28,22:53,0,1,0,0,C,5,151,5/13/2001,5/13/2001,NULL,1
Kentucky,180,2001,390417,RO,2,4/14/2001, 22:30,0:00,0,0,0,0,F,NULL,308,5/17/2001,5/17/2001,NULL,1
Kentucky,181,2001,390409,RO,2,4/14/2001, 20:06,22:25,1,2,1,2,F,NULL,387,5/17/2001,5/17/2001,NULL,1
Kentucky,183,2001,390103,RO,3,5/18/2001, 21:17,23:17,2,2,2,2,C,0,278,5/21/2001,5/21/2001,NULL,1
Kentucky,186,2001,390104,RO,3,5/12/2001, 21:40,22:54,1,1,0,0,F,1,294,5/30/2001,5/30/2001,NULL,1
Louisiana,187,2001,420111,RO,3,5/23/2001, 22:42,23:52,4,3,0,0,F,2,375,6/1/2001,6/1/2001,NULL,1
Louisiana,188,2001,420511,RO,3,5/23/2001, 21:13,22:35,0,4,0,0,F,2,375,6/1/2001,6/1/2001,NULL,1
Louisiana,189,2001,420211,RO,3,5/31/2001, 20:40,22:09,2,1,2,2,C,0,122,6/1/2001,6/1/2001,NULL,1
Louisiana,191,2001,420511,RO,2,4/5/2001, 20:20,21:50,0,0,0,0,F,7,375,6/1/2001,6/1/2001,NULL,1
Delaware,192,2001,211101,RA,3,6/6/2001, 20:56,23:10,1,1,2,5,C,1,151,6/7/2001,6/7/2001,NULL,1
Kentucky,193,2001,390405,RO,3,6/9/2001, 21:30,23:10,0,0,0,0,F,2,299,6/10/2001,6/10/2001,NULL,1
Louisiana,194,2001,420507,RO,3,6/13/2001, 21:05,22:17,0,0,0,0,C,5,122,6/18/2001,6/18/2001,NULL,1
Mississippi,195,2001,510307,RO,3,6/12/2001, 21:37,23:17,0,0,0,0,F,NULL,130,6/20/2001,6/20/2001,NULL,1
Mississippi,196,2001,510108,RO,2,5/14/2001, 20:00,21:30,0,0,0,0,F,3,1801,6/20/2001,6/20/2001,NULL,1
Mississippi,197,2001,510503,RO,3,6/20/2001, 21:22,22:53,0,0,0,0,F,NULL,130,6/22/2001,6/22/2001,NULL,1
Kentucky,198,2001,390122,RO,2,4/13/2001, 21:00,23:18,1,0,1,1,F,0,406,6/25/2001,6/25/2001,NULL,1
Kentucky,199,2001,390122,RO,3,5/28/2001, 22:04,23:42,1,0,2,2,F,0,406,6/25/2001,6/25/2001,NULL,1
Delaware,200,2001,211202,RA,1,3/13/2001, 18:55,20:25,1,1,0,1,F,0,153,6/28/2001,3/18/2002,NULL,1
Delaware,201,2001,211202,RA,2,5/4/2001, 20:50,22:23,2,1,0,0,F,16,153,6/28/2001,6/28/2001,NULL,1
Delaware,202,2001,211202,RA,3,6/9/2001, 22:02,23:44,1,1,0,0,F,7,153,6/28/2001,3/18/2002,NULL,1
Kentucky,203,2001,390409,RO,3,6/12/2001, 21:03,22:45,0,0,0,0,F,NULL,387,6/28/2001,6/28/2001,NULL,1
Kentucky,204,2001,390213,RO,2,4/9/2001, 20:10,21:50,1,2,1,1,F,NULL,274,6/30/2001,6/30/2001,NULL,1
Kentucky,205,2001,390213,RO,3,6/12/2001, 21:04,22:33,0,1,0,0,F,NULL,274,6/30/2001,6/30/2001,NULL,1
Maryland,206,2001,460706,RA,2,5/9/2001, 21:30,23:11,0,0,0,0,C,NULL,1056,7/2/2001,7/2/2001,NULL,1
Delaware,207,2001,211001,RA,3,6/27/2001, 20:44,22:31,0,0,0,0,F,NULL,164,7/2/2001,7/2/2001,NULL,1
Louisiana,208,2001,420311,RO,3,6/3/2001, 22:33,23:58,1,2,1,1,C,3,313,7/5/2001,7/5/2001,NULL,1
Louisiana,209,2001,420316,RO,3,6/3/2001, 20:45,22:10,1,1,1,1,C,3,313,7/5/2001,7/5/2001,NULL,1
Mississippi,210,2001,510306,RO,3,6/24/2001, 21:00,22:35,0,0,0,0,F,NULL,130,7/6/2001,7/6/2001,NULL,1
Louisiana,211,2001,420111,RO,1,1/28/2001, 20:52,22:15,2,2,0,0,F,0,375,7/6/2001,7/6/2001,NULL,1
Louisiana,212,2001,420511,RO,1,1/28/2001, 19:18,20:46,1,2,0,0,F,0,375,7/6/2001,7/6/2001,NULL,1
Louisiana,213,2001,420111,RO,2,4/5/2001, 21:59,23:15,0,0,0,0,F,7,375,7/6/2001,7/6/2001,NULL,1
Louisiana,214,2001,420310,RO,2,4/3/2001, 20:30,22:30,0,1,2,2,C,1,370,7/9/2001,7/9/2001,NULL,1
Kentucky,215,2001,390103,RO,4,7/9/2001, 21:41,23:35,0,1,1,0,C,1,278,7/10/2001,7/10/2001,NULL,1
Kentucky,216,2001,390110,RO,3,5/9/2001, 20:15,22:37,1,1,2,0,F,2,296,7/10/2001,7/10/2001,NULL,1
Kentucky,217,2001,390110,RO,4,7/9/2001, 20:38,22:20,0,0,1,1,F,1,296,7/10/2001,7/10/2001,NULL,1
Louisiana,218,2001,420411,RO,3,6/1/2001, 20:50,22:15,1,1,0,0,F,1,317,7/10/2001,7/10/2001,NULL,1
Louisiana,219,2001,420411,RO,2,3/15/2001, 19:20,21:15,1,2,0,0,C,1,317,7/10/2001,7/10/2001,NULL,1
Louisiana,220,2001,420110,RO,2,3/12/2001, 21:25,22:53,1,1,0,0,C,0,381,7/10/2001,7/10/2001,NULL,1
Louisiana,221,2001,420516,RO,2,3/29/2001, 21:11,22:43,2,1,2,1,F,0,381,7/10/2001,7/10/2001,NULL,1
Louisiana,222,2001,420516,RO,3,6/7/2001, 21:25,22:45,3,1,2,2,F,0,381,7/10/2001,7/10/2001,NULL,1
Louisiana,223,2001,420210,RO,2,3/12/2001, 18:54,20:31,0,1,1,0,C,0,381,7/10/2001,7/10/2001,NULL,1
Louisiana,224,2001,420210,RO,3,6/4/2001, 21:10,22:42,2,2,1,2,F,0,381,7/10/2001,7/10/2001,NULL,1
Louisiana,225,2001,420310,RO,3,5/10/2001, 20:20,22:10,0,2,2,1,F,1,317,7/10/2001,7/10/2001,NULL,1
Louisiana,227,2001,420110,RO,3,6/14/2001, 21:15,22:30,3,3,2,1,C,2,316,7/12/2001,7/12/2001,NULL,1
Louisiana,228,2001,420109,RO,3,6/4/2001, 21:10,22:00,0,0,1,1,C,0,380,7/12/2001,7/12/2001,NULL,1
Mississippi,229,2001,510218,RO,3,6/27/2001, 20:41,22:22,0,0,1,0,F,NULL,2122,7/12/2001,7/12/2001,NULL,1
Delaware,230,2001,210702,RA,2,4/23/2001, 21:10,22:38,3,3,0,0,C,6,154,7/17/2001,7/17/2001,NULL,1
Delaware,231,2001,210702,RA,1,4/3/2001, 20:58,22:40,1,0,0,0,C,5,154,7/17/2001,7/17/2001,NULL,1
Delaware,232,2001,210702,RA,3,6/20/2001, 21:17,22:43,2,2,0,0,C,4,154,7/17/2001,7/17/2001,NULL,1
Kentucky,233,2001,390404,RO,3,6/7/2001, 21:35,23:41,0,0,1,0,F,NULL,295,7/18/2001,7/18/2001,NULL,1
Michigan,234,2001,490519,RO,1,4/15/2001, 20:30,22:00,1,2,1,1,F,NULL,398,7/19/2001,7/19/2001,NULL,1
Michigan,235,2001,490519,RO,2,5/28/2001, 22:00,23:50,0,0,1,1,F,NULL,398,7/19/2001,7/19/2001,NULL,1
Michigan,236,2001,490519,RO,3,6/25/2001, 22:00,23:30,1,2,0,0,F,NULL,398,7/19/2001,7/19/2001,NULL,1
Louisiana,237,2001,420309,RO,3,5/31/2001, 20:45,21:36,0,0,2,0,C,1,380,7/23/2001,7/23/2001,NULL,1
Louisiana,238,2001,420106,RO,1,1/30/2001, 18:25,19:55,0,0,0,0,F,1,378,7/23/2001,7/23/2001,NULL,1
Louisiana,239,2001,420407,RO,2,3/3/2001, 23:30,0:51,2,2,2,1,C,1,450,7/23/2001,7/23/2001,NULL,1
Louisiana,240,2001,420407,RO,3,5/31/2001, 21:20,22:30,0,0,1,0,C,0,450,7/23/2001,7/23/2001,NULL,1
Louisiana,241,2001,420204,RO,2,4/13/2001, 20:45,22:08,2,2,0,0,C,1,372,7/23/2001,7/23/2001,NULL,1
Louisiana,242,2001,420204,RO,3,6/9/2001, 21:00,22:15,1,1,1,1,C,1,372,7/23/2001,7/23/2001,NULL,1
Delaware,243,2001,211102,RA,3,6/18/2001, 21:03,22:38,0,0,0,0,C,NULL,1803,7/24/2001,7/24/2001,NULL,1
Maryland,244,2001,460107,RO,1,3/13/2001, 19:10,20:40,2,2,1,1,C,NULL,281,8/1/2001,8/1/2001,NULL,1
Maryland,245,2001,460107,RO,2,5/20/2001, 20:30,21:55,2,2,2,5,C,NULL,281,8/1/2001,8/1/2001,NULL,1
Maryland,246,2001,460107,RO,3,7/8/2001, 20:45,22:15,1,1,5,2,C,NULL,281,8/1/2001,8/1/2001,NULL,1
Delaware,247,2001,210902,RA,2,5/15/2001, 20:51,21:48,1,2,0,0,C,21,157,8/5/2001,3/2/2003,NULL,1
Delaware,248,2001,210902,RA,3,6/30/2001, 21:40,23:08,0,NULL,0,NULL,C,NULL,157,8/5/2001,5/9/2012,NULL,1
Michigan,249,2001,490420,RO,1,4/19/2001, 21:00,22:00,0,0,0,0,F,NULL,397,8/10/2001,8/10/2001,NULL,1
Louisiana,250,2001,420412,RO,3,6/6/2001, 21:00,22:25,1,3,5,5,C,0,122,8/14/2001,8/14/2001,NULL,1
Michigan,251,2001,490420,RO,2,5/18/2001, 22:00,23:00,0,0,1,0,F,NULL,397,8/15/2001,8/15/2001,NULL,1
Michigan,252,2001,490420,RO,3,6/13/2001, 21:45,22:45,0,0,0,0,F,NULL,397,8/15/2001,8/15/2001,NULL,1
Kentucky,253,2001,390213,RO,4,8/7/2001, 21:30,23:12,2,1,2,1,F,NULL,274,8/20/2001,8/20/2001,NULL,1
Delaware,254,2001,210801,RA,2,5/3/2001, 20:29,22:14,1,1,1,1,C,NULL,162,8/22/2001,10/13/2002,NULL,1
Delaware,255,2001,210801,RA,3,6/26/2001, 21:29,23:21,0,0,0,0,C,NULL,162,8/22/2001,8/22/2001,NULL,1
Maryland,258,2001,460108,RO,1,3/24/2001, 19:10,20:40,2,3,5,5,C,3,283,8/27/2001,8/27/2001,NULL,1
Maryland,259,2001,460108,RO,2,5/14/2001, 18:05,19:15,3,3,0,0,C,NULL,283,8/27/2001,8/27/2001,NULL,1
Maryland,260,2001,460108,RO,3,6/24/2001, 20:00,21:45,1,0,1,0,C,1,283,8/27/2001,8/27/2001,NULL,1
Maryland,261,2001,460203,RO,2,5/24/2001, 21:12,23:10,1,2,1,0,C,NULL,125,8/27/2001,8/27/2001,NULL,1
Maryland,262,2001,460203,RO,3,6/22/2001, 21:05,23:15,1,2,5,5,C,NULL,125,8/27/2001,8/27/2001,NULL,1
Maryland,263,2001,460104,RO,1,3/30/2001, 19:02,20:44,3,3,2,2,F,1,2116,8/27/2001,8/27/2001,NULL,1
Maryland,264,2001,460104,RO,2,5/15/2001, 18:58,20:15,3,3,1,1,F,6,2116,8/27/2001,8/27/2001,NULL,1
Louisiana,265,2001,420314,RO,2,4/5/2001, 21:00,23:25,3,3,1,0,F,7,314,8/30/2001,8/30/2001,NULL,1
Louisiana,266,2001,420314,RO,3,6/7/2001, 21:00,22:30,2,2,2,1,F,0,314,8/30/2001,8/30/2001,NULL,1
Louisiana,267,2001,420515,RO,1,1/27/2001, 22:05,22:55,2,0,0,0,F,1,453,8/30/2001,8/30/2001,NULL,1
Louisiana,268,2001,420515,RO,3,6/3/2001, 00:30,1:30,4,3,1,0,F,2,453,8/30/2001,6/10/2008,NULL,1
Louisiana,269,2001,420315,RO,1,1/27/2001, 20:51,21:45,2,2,0,0,F,1,377,8/30/2001,8/30/2001,NULL,1
Louisiana,270,2001,420315,RO,3,6/2/2001, 23:10,0:09,1,2,0,1,F,1,377,8/30/2001,8/30/2001,NULL,1
Louisiana,271,2001,420215,RO,1,1/27/2001, 18:30,19:30,1,0,0,0,F,1,377,8/30/2001,8/30/2001,NULL,1
Louisiana,272,2001,420215,RO,3,6/2/2001, 20:55,21:55,1,1,0,0,F,1,377,8/30/2001,8/30/2001,NULL,1
Louisiana,273,2001,420315,RO,2,3/30/2001, 21:10,22:35,1,1,2,2,F,1,377,8/31/2001,8/31/2001,NULL,1
Louisiana,274,2001,420515,RO,2,3/30/2001, 23:06,23:56,1,1,2,0,F,1,453,8/31/2001,8/31/2001,NULL,1
Louisiana,275,2001,420509,RO,3,5/31/2001, 21:30,22:25,0,0,0,0,F,1,382,8/31/2001,8/31/2001,NULL,1
Kentucky,276,2001,390409,RO,4,8/15/2001, 20:15,21:56,1,0,1,0,F,NULL,387,9/3/2001,9/3/2001,NULL,1
Delaware,277,2001,210601,RA,1,4/6/2001, 20:15,21:38,0,0,1,1,F,0,168,9/3/2001,9/3/2001,NULL,1
Delaware,278,2001,210601,RA,2,4/30/2001, 21:15,22:44,0,1,0,0,F,1,168,9/3/2001,10/6/2001,NULL,1
Delaware,279,2001,210601,RA,3,6/5/2001, 21:40,0:14,0,0,0,0,F,NULL,168,9/3/2001,9/3/2001,NULL,1
Kentucky,280,2001,390122,RO,4,8/13/2001, 20:56,22:38,0,0,1,1,C,2,406,9/4/2001,9/4/2001,NULL,1
Kentucky,281,2001,390113,RO,4,7/30/2001, 21:07,23:24,1,1,2,1,C,1,406,9/4/2001,9/4/2001,NULL,1
Maryland,282,2001,460205,RO,1,3/31/2001, 19:15,20:13,1,1,2,2,F,NULL,286,9/4/2001,9/4/2001,NULL,1
Maryland,283,2001,460205,RO,2,5/14/2001, 20:40,22:03,1,0,0,0,F,NULL,286,9/4/2001,9/4/2001,NULL,1
Maryland,284,2001,460304,RO,1,3/31/2001, 20:45,22:50,1,1,1,1,F,2,288,9/4/2001,9/4/2001,NULL,1
Maryland,285,2001,460304,RO,2,5/11/2001, 21:20,23:25,0,1,0,0,F,NULL,288,9/4/2001,9/4/2001,NULL,1
Maryland,286,2001,460307,RO,1,4/14/2001, 20:01,21:47,0,0,0,0,F,NULL,289,9/4/2001,9/4/2001,NULL,1
Maryland,287,2001,460307,RO,2,5/14/2001, 20:22,21:56,2,1,1,1,F,2,289,9/4/2001,9/4/2001,NULL,1
Maryland,288,2001,460307,RO,3,6/15/2001, 21:15,22:35,1,2,2,2,F,NULL,289,9/4/2001,9/4/2001,NULL,1
Maryland,289,2001,460405,RO,2,4/22/2001, 20:50,22:20,1,1,0,0,C,1,292,9/4/2001,9/4/2001,NULL,1
Maryland,290,2001,460405,RO,3,6/27/2001, 21:07,22:36,0,0,0,0,C,NULL,292,9/4/2001,9/4/2001,NULL,1
Mississippi,291,2001,510507,RO,2,5/14/2001, 20:40,22:29,0,0,0,0,F,NULL,1807,9/6/2001,9/6/2001,NULL,1
Mississippi,292,2001,510507,RO,3,7/1/2001, 21:00,23:30,0,0,1,1,F,0,1807,9/6/2001,9/6/2001,NULL,1
Louisiana,296,2001,420312,RO,3,5/22/2001, 20:17,21:16,2,1,0,0,C,1,321,9/7/2001,9/7/2001,NULL,1
Louisiana,297,2001,420106,RO,3,5/20/2001, 20:26,21:41,3,3,1,1,F,7,378,9/7/2001,9/7/2001,NULL,1
Maryland,298,2001,460407,RO,1,3/21/2001, 19:44,21:30,2,2,5,5,F,NULL,325,9/7/2001,9/7/2001,NULL,1
Maryland,299,2001,460407,RO,2,5/10/2001, 20:30,22:50,1,1,0,0,F,23,325,9/7/2001,9/7/2001,NULL,1
Maryland,300,2001,460407,RO,3,6/24/2001, 21:00,22:40,0,0,0,0,F,2,325,9/7/2001,9/7/2001,NULL,1
Maryland,301,2001,460501,RO,1,4/6/2001, 20:00,23:00,3,3,5,2,C,NULL,369,9/7/2001,9/7/2001,NULL,1
Maryland,302,2001,460501,RO,2,5/19/2001, 20:55,23:00,0,0,1,0,C,1,369,9/7/2001,9/7/2001,NULL,1
Maryland,303,2001,460501,RO,3,6/19/2001, 21:13,22:50,0,2,1,0,C,3,369,9/7/2001,9/7/2001,NULL,1
Maryland,304,2001,460503,RO,2,5/18/2001, 20:33,22:08,1,1,5,1,C,NULL,125,9/7/2001,9/7/2001,NULL,1
Maryland,305,2001,460503,RO,3,7/4/2001, 21:15,23:00,1,1,2,5,C,NULL,125,9/7/2001,9/7/2001,NULL,1
Maryland,306,2001,460504,RO,1,3/30/2001, 19:15,21:10,1,1,1,0,C,NULL,328,9/7/2001,9/7/2001,NULL,1
Maryland,307,2001,460504,RO,2,4/22/2001, 20:30,22:40,1,1,1,0,C,NULL,328,9/7/2001,9/7/2001,NULL,1
Maryland,308,2001,460504,RO,3,6/4/2001, 20:50,22:40,3,3,2,2,C,NULL,328,9/7/2001,9/7/2001,NULL,1
Maryland,309,2001,460505,RO,2,5/2/2001, 19:05,20:40,0,1,0,0,F,7,333,9/7/2001,9/7/2001,NULL,1
Maryland,310,2001,460505,RO,3,6/30/2001, 20:15,22:10,0,1,0,0,F,2,333,9/7/2001,9/7/2001,NULL,1
Maryland,311,2001,460508,RO,1,3/13/2001, 19:09,21:10,1,1,0,1,C,0,337,9/7/2001,9/7/2001,NULL,1
Maryland,312,2001,460508,RO,2,5/12/2001, 21:20,22:56,0,2,2,2,C,0,337,9/7/2001,9/7/2001,NULL,1
Maryland,313,2001,460508,RO,3,6/7/2001, 21:13,23:03,0,1,0,0,C,0,337,9/7/2001,9/7/2001,NULL,1
Maryland,314,2001,460603,NR,1,3/14/2001, 18:45,21:02,1,1,0,0,C,1,339,9/7/2001,9/7/2001,NULL,1
Maryland,315,2001,460604,RA,1,3/30/2001, 19:50,21:55,0,0,1,1,F,NULL,343,9/7/2001,9/7/2001,NULL,1
Maryland,316,2001,460604,RA,2,4/15/2001, 22:14,0:10,1,1,1,1,F,NULL,343,9/7/2001,9/7/2001,NULL,1
Maryland,317,2001,460604,RA,3,6/26/2001, 22:21,0:55,0,0,0,0,F,NULL,343,9/7/2001,9/7/2001,NULL,1
Maryland,318,2001,460703,NR,1,3/16/2001, 19:05,21:25,2,2,5,5,C,0,353,9/8/2001,9/8/2001,NULL,1
Maryland,319,2001,460703,NR,2,4/21/2001, 20:45,22:33,1,1,1,1,C,5,353,9/8/2001,9/8/2001,NULL,1
Maryland,320,2001,460703,NR,3,6/2/2001, 21:50,23:54,3,1,1,1,C,0,353,9/8/2001,9/8/2001,NULL,1
Maryland,321,2001,460704,RA,2,5/9/2001, 21:41,23:20,0,0,0,0,C,1,356,9/8/2001,9/8/2001,NULL,1
Maryland,322,2001,460704,RA,3,6/13/2001, 21:57,23:53,0,1,0,0,C,NULL,356,9/8/2001,9/8/2001,NULL,1
Maryland,323,2001,460708,RA,2,5/4/2001, 21:12,22:40,0,0,0,0,F,9,360,9/8/2001,9/8/2001,NULL,1
Maryland,324,2001,460708,RA,3,6/27/2001, 20:09,22:30,0,0,0,0,F,4,360,9/8/2001,9/8/2001,NULL,1
Maryland,325,2001,460803,RA,1,3/20/2001, 19:02,21:10,3,3,2,2,C,NULL,362,9/8/2001,9/8/2001,NULL,1
Maryland,326,2001,460803,RA,2,5/15/2001, 20:30,22:18,1,1,1,1,C,NULL,362,9/8/2001,9/8/2001,NULL,1
Maryland,327,2001,460803,RA,3,6/21/2001, 21:05,22:41,2,2,2,1,C,1,362,9/8/2001,9/8/2001,NULL,1
Maryland,328,2001,460706,RA,3,6/30/2001, 23:09,0:45,0,0,0,1,F,0,1056,9/12/2001,9/12/2001,NULL,1
Louisiana,329,2001,420102,RO,1,1/29/2001, 19:50,21:20,2,3,0,0,C,0,315,9/24/2001,9/24/2001,NULL,1
Louisiana,330,2001,420102,RO,2,4/15/2001, 20:42,22:18,0,0,0,0,C,0,315,9/24/2001,9/24/2001,NULL,1
Louisiana,331,2001,420102,RO,3,6/1/2001, 21:00,22:30,0,0,0,0,C,1,315,9/24/2001,9/24/2001,NULL,1
Louisiana,332,2001,420202,RO,1,2/26/2001, 20:00,21:15,0,0,5,5,C,2,323,9/24/2001,9/24/2001,NULL,1
Louisiana,333,2001,420202,RO,2,4/16/2001, 20:14,21:21,0,0,0,0,C,1,323,9/24/2001,9/24/2001,NULL,1
Louisiana,334,2001,420502,RO,1,2/24/2001, 19:11,21:01,1,0,1,1,C,0,320,9/24/2001,9/24/2001,NULL,1
Louisiana,335,2001,420302,RO,1,2/19/2001, 19:08,20:55,0,0,2,2,F,3,379,9/24/2001,9/24/2001,NULL,1
Louisiana,336,2001,420302,RO,2,4/24/2001, 21:05,22:40,1,1,0,0,F,1,379,9/24/2001,9/24/2001,NULL,1
Louisiana,337,2001,420302,RO,3,6/11/2001, 21:53,23:29,0,0,0,0,F,2,379,9/24/2001,9/24/2001,NULL,1
Michigan,338,2001,490225,RO,1,4/11/2001, 21:10,23:00,0,0,1,2,F,NULL,394,10/4/2001,10/4/2001,NULL,1
Michigan,339,2001,490225,RO,2,5/9/2001, 22:15,23:45,1,0,2,0,F,NULL,394,10/4/2001,10/4/2001,NULL,1
Michigan,340,2001,490225,RO,3,6/15/2001, 22:30,23:45,0,1,0,0,F,NULL,394,10/4/2001,10/4/2001,NULL,1
Michigan,341,2001,490235,RO,2,5/2/2001, 21:50,23:00,0,0,0,0,F,NULL,405,10/4/2001,10/4/2001,NULL,1
Michigan,342,2001,490235,RO,3,6/13/2001, 22:15,23:20,0,0,1,0,F,NULL,405,10/4/2001,10/4/2001,NULL,1
Delaware,343,2001,210202,RO,2,5/15/2001, 20:10,21:30,NULL,NULL,NULL,NULL,C,NULL,1795,10/6/2001,10/6/2001,NULL,1
Delaware,344,2001,210202,RO,1,3/21/2001, 18:30,20:25,NULL,NULL,NULL,NULL,C,NULL,1795,10/6/2001,10/6/2001,NULL,1
Delaware,345,2001,210302,RO,1,3/30/2001, 19:00,20:30,2,1,2,2,F,0,155,10/6/2001,10/6/2001,NULL,1
Delaware,346,2001,210302,RO,2,5/9/2001, 19:30,21:00,2,2,1,1,F,16,155,10/6/2001,10/6/2001,NULL,1
Delaware,347,2001,210302,RO,3,6/8/2001, 21:00,22:35,0,0,0,0,F,1,155,10/6/2001,10/6/2001,NULL,1
Delaware,348,2001,210602,RA,1,4/5/2001, 20:00,21:40,2,2,0,0,C,4,161,10/6/2001,10/31/2001,NULL,1
Delaware,349,2001,210602,RA,2,5/15/2001, 21:15,23:05,2,2,1,2,F,10,161,10/6/2001,10/31/2001,NULL,1
